3,7,6,1,2,4,5
6,7,5,1,2,3,4
5,7,6,3,4,1,2
2,7,3,4,5,1,6
3,7,2,1,6,4,5
5,7,2,3,4,1,6
4,1,6,2,3,7,5
4,1,2,7,3,5,6
7,1,6,4,5,2,3
7,1,2,5,6,3,4
2,1,6,7,3,4,5
6,1,2,3,4,7,5
4,7,5,1,6,2,3
3,7,2,1,6,4,5
5,7,6,1,2,3,4
4,7,3,1,2,5,6
4,2,3,5,6,7,1
6,2,3,7,1,4,5
6,2,3,4,5,7,1
2,7,1,3,4,5,6
2,3,4,7,1,5,6
4,7,1,2,3,5,6
